statements.walk: 7 cells -> 3 beats, 0 terms
cells_of.kids_of: 8 cells -> 4 beats, 0 terms
merge: 8 cells -> 3 beats, 0 terms
ask_claude: 6 cells -> 3 beats, 0 terms
check_block: 36 cells -> 9 beats, 1 terms
carve: 20 cells -> 4 beats, 0 terms
blocks_of.grab: 8 cells -> 3 beats, 0 terms
calls_of.resolve: 6 cells -> 3 beats, 0 terms
layers_of.strong: 18 cells -> 3 beats, 1 terms
layers_of.height: 4 cells -> 2 beats, 1 terms
nodes_of.walk: 5 cells -> 3 beats, 0 terms
number.walk: 6 cells -> 3 beats, 0 terms
retry 1 [links()]: Expecting ',' delimiter: line 1 column 1916 (char 1915)
links: 16 cells -> 5 beats, 1 terms
row_of: 3 cells -> 2 beats, 1 terms
write_node: 13 cells -> 5 beats, 0 terms
statements: 6 cells -> 4 beats, 0 terms
cells_of.emit: 19 cells -> 5 beats, 1 terms
blocks_of: 13 cells -> 5 beats, 0 terms
calls_of.scan: 9 cells -> 5 beats, 0 terms
layers_of: 13 cells -> 5 beats, 0 terms
nodes_of: 4 cells -> 3 beats, 0 terms
number: 5 cells -> 2 beats, 0 terms
write_map: 7 cells -> 4 beats, 0 terms
compile_block: 26 cells -> 12 beats, 1 terms
cells_of: 36 cells -> 7 beats, 1 terms
calls_of: 7 cells -> 3 beats, 0 terms
owner_of: 8 cells -> 3 beats, 1 terms
main: 47 cells -> 9 beats, 1 terms
script: 11 cells -> 4 beats, 0 terms
29 blocks, 155 texts, 20 links, 8 terms, 30 claude calls -> decompile_v10/map.json
